"filename", "language", "Python", "comment", "blank", "total"
"/Users/tylermoline/devpipeline/homework/capstone/functions/view_search/user_view_comp_results.py", "Python", 4, 0, 2, 6
"Total", "-", 4, 0, 2, 6
